country_code,cat_name,end_use,carrier_name,0
LVA,household,space_heating,biomass,5.294360292996571
LVA,household,cooking,biomass,0.14649387814170717
LVA,household,water_heating,electricity,0.2842729432059309
LVA,household,space_heating,electricity,0.1009870286681856
LVA,household,cooking,electricity,0.3217188187588815
LVA,household,water_heating,heat,0.6420328037182588
LVA,household,space_heating,heat,3.1184051640132675
LVA,household,cooking,heat,1.0519249706799183
LVA,household,water_heating,natural_gas,0.20521296968032174
LVA,household,space_heating,natural_gas,0.8302814244026375
LVA,household,cooking,natural_gas,0.28294649207864275
LVA,household,water_heating,oil,0.029118099350496692
LVA,household,space_heating,oil,0.364115553862129
LVA,household,cooking,oil,0.011037987567373191
LVA,household,water_heating,other_renewable,0.0
LVA,household,space_heating,other_renewable,0.0
LVA,household,cooking,other_renewable,0.0
LVA,household,water_heating,solar_thermal,0.0
LVA,household,space_heating,solar_thermal,0.0
LVA,household,cooking,solar_thermal,0.0
LVA,household,water_heating,solid_fossil,0.013745518993306487
LVA,household,space_heating,solid_fossil,0.11848195468969591
LVA,household,cooking,solid_fossil,0.018631611276737556
MLT,household,water_heating,biomass,0.002701531751671288
MLT,household,space_heating,biomass,0.010580697391912537
MLT,household,cooking,biomass,0.0
MLT,household,water_heating,electricity,0.09652550757237688
MLT,household,space_heating,electricity,0.22498822273386304
MLT,household,cooking,electricity,0.0
MLT,household,water_heating,heat,1.3322095803062686e-06
MLT,household,space_heating,heat,8.66779041969373e-06
MLT,household,cooking,heat,0.0
MLT,household,water_heating,natural_gas,1.767778498742437e-06
MLT,household,space_heating,natural_gas,8.232221501257877e-06
MLT,household,cooking,natural_gas,0.0
MLT,household,water_heating,oil,0.0
MLT,household,space_heating,oil,0.0
MLT,household,cooking,oil,0.0
MLT,household,water_heating,other_renewable,0.0
MLT,household,space_heating,other_renewable,0.0
MLT,household,cooking,other_renewable,0.0
MLT,household,water_heating,solar_thermal,0.0
MLT,household,space_heating,solar_thermal,0.0
MLT,household,cooking,solar_thermal,0.0
MLT,household,water_heating,solid_fossil,0.0
MLT,household,space_heating,solid_fossil,0.0
MLT,household,cooking,solid_fossil,0.0
NLD,household,water_heating,biomass,0.27003785480718495
NLD,household,space_heating,biomass,5.350861034552619
NLD,household,cooking,biomass,0.0
NLD,household,water_heating,electricity,1.2918385012948848
NLD,household,space_heating,electricity,3.4174424876538336
NLD,household,cooking,electricity,1.0559936937472372
NLD,household,water_heating,heat,0.5944428745657286
NLD,household,space_heating,heat,3.4533450569857784
NLD,household,cooking,heat,0.0
NLD,household,water_heating,natural_gas,10.15546792738921
NLD,household,space_heating,natural_gas,72.35559493444303
NLD,household,cooking,natural_gas,1.7011392319299268
NLD,household,water_heating,oil,0.03524725498959652
NLD,household,space_heating,oil,0.17577788331350674
NLD,household,cooking,oil,0.027088058092076855
NLD,household,water_heating,other_renewable,0.0
NLD,household,space_heating,other_renewable,0.0
NLD,household,cooking,other_renewable,0.0
NLD,household,water_heating,solar_thermal,0.29375063445435645
NLD,household,space_heating,solar_thermal,0.04751952349045316
NLD,household,cooking,solar_thermal,0.0
NLD,household,water_heating,solid_fossil,2.1468021033486762e-05
NLD,household,space_heating,solid_fossil,0.006516052200501374
NLD,household,cooking,solid_fossil,0.0
POL,household,water_heating,biomass,0.5736453339473506
POL,household,space_heating,biomass,24.52845925990312
POL,household,cooking,biomass,4.1244736843248635
POL,household,water_heating,electricity,5.129565092008212
POL,household,space_heating,electricity,4.732492652905072
POL,household,cooking,electricity,2.389611302483171
POL,household,water_heating,heat,6.063674674103152
POL,household,space_heating,heat,39.06839912660253
POL,household,cooking,heat,0.0
POL,household,water_heating,natural_gas,4.9336316720554
POL,household,space_heating,natural_gas,24.34382583639376
POL,household,cooking,natural_gas,13.581255680829129
POL,household,water_heating,oil,0.10615988102234633
POL,household,space_heating,oil,1.5832619642494856
POL,household,cooking,oil,0.0
POL,household,water_heating,other_renewable,0.0
POL,household,space_heating,other_renewable,0.0
POL,household,cooking,other_renewable,0.0
POL,household,water_heating,solar_thermal,0.08268033212344306
POL,household,space_heating,solar_thermal,0.01327143976224079
POL,household,cooking,solar_thermal,0.0
POL,household,water_heating,solid_fossil,3.6899061740775227
POL,household,space_heating,solid_fossil,69.69238215275273
POL,household,cooking,solid_fossil,0.0
PRT,household,water_heating,biomass,0.9113394904377385
