,REGISTRY_COD,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,COMPLIANCE_CODE,COMPLIANCE_STATUS_LATEST_YEAR,TOTAL_VERIFIED_EMISSIONS,TOTAL_SURRENDERED_ALLOWANCES,YEAR_OF_FIRST_EMISSIONS,YEAR_OF_LAST_EMISSIONS,ACCOUNT_CLOSURE,url_id,lat,lon
11168,NL,Dow Benelux B.V. BKG 9,204688,NL-200400084H,42,A,2018,813842,813842,2013,NOT SET,OPEN,110155,51.3345937,3.7913142
11169,NL,E-max Remelt,206225,NL-200400302,27,A,2018,112627,112627,2013,NOT SET,OPEN,"101088,111683",50.8780084,6.038488800000001
11171,NL,"ENCI B.V., vestiging Maastricht",143,NL-200400006,29,A,2018,2474550,2474550,2005,NOT SET,OPEN,100941,50.8202976,5.6921421
11184,NL,ESD-SIC bv,336,NL-200400085,32,A,2018,788611,788611,2008,NOT SET,OPEN,101307,53.297754,6.965020099999999
11185,NL,ESSO Raffinaderij Rotterdam,96,NL-200400011,21,A,2018,12346775,12346775,2005,NOT SET,OPEN,101015,51.8701312,4.3009669
11186,NL,Eastman Chemical Middelburg BV,112,NL-200400167,43,A,2018,386133,386133,2005,NOT SET,OPEN,101034,51.4928506,3.6462368
11189,NL,Emerald Kalama Chemical B.V.,110,NL-200400077,42,A,2018,461580,461580,2005,NOT SET,OPEN,101029,51.8862679,4.2607321
11191,NL,Enecal Energy V.O.F.,197,NL-200400042,1,A,2018,452095,452095,2005,NOT SET,OPEN,101072,51.8849556,4.2563783
11208,NL,Energiecoöperatie Greenhouse Energy U.A.,299,NL-200700015,1,A,2018,195281,195281,2008,NOT SET,OPEN,101270,51.9160256,5.9170108
11215,NL,Eska Graphic Board Hoogezand,81,NL-200400136,36,A,2018,352359,352359,2005,NOT SET,OPEN,100984,53.16318630000001,6.7512946
11216,NL,Eska Graphic Board Sappemeer,82,NL-200400128,36,A,2018,190930,190930,2005,NOT SET,OPEN,100983,53.1624686,6.8058258
11222,NL,Eurogen C.V.,198,NL-200400043,1,A,2018,2276314,2276314,2005,NOT SET,OPEN,101073,51.8849556,4.2563783
11223,NL,ExxonMobil Chemical Holland B.V. (RAP),204521,NL-200400220,42,A,2018,2554000,2554000,2013,NOT SET,OPEN,110010,51.8701312,4.3009669
11225,NL,ExxonMobil Chemical Holland B.V. (RPP),204522,NL-201100050,42,A,2018,260105,260105,2013,NOT SET,OPEN,110011,51.8732972,4.279872399999999
11227,NL,FNsteel B.V.,204761,NL-200400184A,24,A,2018,122169,122169,2013,NOT SET,OPEN,110206,51.85000729999999,4.669572899999999
11235,NL,FrieslandCampina Bedum,41,NL-200400274,1,A,2018,205913,205913,2005,NOT SET,OPEN,100956,53.30986100000001,6.599856
11236,NL,FrieslandCampina Beilen,36,NL-200400216,1,A,2018,309962,309962,2005,NOT SET,OPEN,100953,52.8568745,6.519107
11237,NL,"FrieslandCampina DMV B.V., locatie Veghel",37,NL-200400248,1,A,2018,672606,672606,2005,NOT SET,OPEN,101121,51.61577639999999,5.5200948
11239,NL,FrieslandCampina Leeuwarden,42,NL-200400253,1,A,2018,355835,355835,2005,NOT SET,OPEN,100957,53.1984228,5.817908399999999
11240,NL,FrieslandCampina Lochem,40,NL-200400261,1,A,2018,245601,245601,2005,NOT SET,OPEN,100955,52.164322,6.42299
11241,NL,FrieslandCampina Workum,236,NL-200700063,1,A,2018,151953,151953,2008,NOT SET,OPEN,101205,52.9743869,5.4551434
11242,NL,Frisia Zout B.V.,102,NL-200400255,1,A,2018,44349,44349,2005,NOT SET,OPEN,101022,53.1901153,5.426201
11247,NL,Gipmans Groep,432,NL-200900063,1,A,2018,74254,74254,2009,NOT SET,OPEN,100842,51.39609249999999,6.2147612
11249,NL,Gouda Refractories BV,363,NL-200700095,8,A,2018,50849,50849,2008,NOT SET,OPEN,100735,52.0142181,4.6890861
11252,NL,Gunvor Petroleum Rotterdam B.V.,97,NL-200400138,21,A,2018,2785161,2785161,2005,NOT SET,OPEN,101017,51.93229239999999,4.1680114
11256,NL,"Heineken Nederland B.V., brouwerij Zoeterwoude",70,NL-200400202,1,A,2018,251180,251180,2005,NOT SET,OPEN,100972,52.13750839999999,4.5349047
11258,NL,Hexion B.V. BKG 1,205970,NL-200400258,42,A,2018,214280,214280,2013,NOT SET,OPEN,"101041,111307",51.8760339,4.3466723
11259,NL,Hexion B.V.BKG 2,205971,NL-200400258A,42,A,2018,29450,29450,2013,NOT SET,OPEN,111308,51.8760339,4.3466723
11265,NL,Huhtamaki Nederland BV,324,NL-200700070,36,A,2018,80183,80183,2008,NOT SET,OPEN,101295,53.1816638,5.5423206
11269,NL,IOI - Loders Croklaan Oils B.V.,440,NL-200900071,1,A,2018,90630,90630,2010,NOT SET,OPEN,101119,51.96555360000001,4.0474954
11270,NL,Indorama Ventures Europe B.V.,199,NL-200400249,42,A,2018,783900,783900,2005,NOT SET,OPEN,101024,51.9597939,4.0935372
11271,NL,InnovioPapers B.V.,92,NL-200400012,36,A,2015,157224,157224,2005,2015,05-SEP-2016,101107,51.8433956,5.8193075
11273,NL,J.S.E. B.V.,425,NL-200900009,1,A,2013,15341,15341,2009,2013,08-AUG-2014,100824,51.4251176,6.0932679
11275,NL,Johnson Matthey B.V.,328,NL-200500011,31,A,2018,21784,21784,2008,NOT SET,OPEN,101299,50.87962169999999,5.7181628
11283,NL,Kisuma Chemicals B.V.,421,NL-200800102,1,A,2018,79048,79048,2008,NOT SET,OPEN,100810,53.112236,6.8939233
11284,NL,Kleiwarenfabriek Buggenum BV,331,NL-200700074,8,A,2013,4891,4891,2008,2013,04-DEC-2014,101302,51.2303951,5.983444299999999
11285,NL,Kleiwarenfabriek De Bylandt B.V.,141,NL-200400271,8,A,2018,198105,198105,2005,NOT SET,OPEN,101085,51.8638065,6.0742397
11286,NL,Kleiwarenfabriek Facade Beek,218,NL-200700076,32,A,2018,47640,47640,2008,NOT SET,OPEN,101186,50.944433,5.7857034
11287,NL,Kleiwarenfabriek Joosten Kessel BV,333,NL-200700077,8,A,2018,45349,45349,2008,NOT SET,OPEN,101304,51.272572,6.011508999999999
11288,NL,Kleiwarenfabriek Joosten Wessem BV,334,NL-200700078,8,A,2013,7489,7489,2008,2013,04-DEC-2014,101305,51.170955,5.870385300000001
11289,NL,Kleiwarenfabriek Nuth,219,NL-200700135,8,A,2013,4417,4417,2008,2013,04-DEC-2014,101187,50.9270163,5.8806441
11290,NL,"Koninklijke Mosa B.V., locatie Vloertegel",203877,NL-200700145,32,A,2018,78145,78145,2013,NOT SET,OPEN,109228,50.8562729,5.7066533
11291,NL,"Koninklijke Mosa BV, locatie Wandtegel",339,NL-200700036,8,A,2018,121684,121684,2008,NOT SET,OPEN,101310,50.8562729,5.7066533
11293,NL,Koole Tankstorage Pernis B.V.,340,NL-200700080,1,A,2018,95518,95518,2008,NOT SET,OPEN,100710,51.8924617,4.3384485
11295,NL,Kwekerij 4Evergreen - lokatie Steenbergen,279,NL-200700038,1,A,2018,146707,146707,2008,NOT SET,OPEN,101250,51.5685732,4.2875814
11301,NL,Kwekerij Overgaag,301,NL-200700051,1,A,2013,5028,5028,2008,2013,04-DEC-2014,101272,51.9654562,4.2359008
11303,NL,"Lamb Weston Meijer V.O.F., vestiging Bergen op Zoom",354,NL-200500025,1,A,2018,177952,177952,2008,NOT SET,OPEN,100726,51.5023808,4.2717089
11305,NL,Lyondell Chemie Nederland B.V. - Botlek locatie,205926,NL-200400083,42,A,2018,1285455,1285455,2013,NOT SET,OPEN,"111235,101036",51.8833789,4.253559699999999
11307,NL,LyondellBasell Covestro Manufact. Maasvlakte VOF,205924,NL-201100010,42,A,2018,73259,73259,2013,NOT SET,OPEN,111234,51.9650382,4.015556999999999
11311,NL,Mars Nederland BV,358,NL-200700091,1,A,2018,72849,72849,2008,NOT SET,OPEN,100730,51.6121944,5.5157739
11312,NL,Marsna Paper B.V.,87,NL-200400263,36,A,2018,21890,21890,2005,NOT SET,OPEN,100989,50.8843022,5.7348247
11313,NL,Mayr-Melnhof Eerbeek B.V.,86,NL-200400078,36,A,2018,395023,395023,2005,NOT SET,OPEN,100988,52.1036569,6.064466899999999
11315,NL,"McCain Foods Holland B.V., vestiging Lewedorp",240,NL-200600037,1,A,2018,101538,101538,2008,NOT SET,OPEN,101209,51.5013478,3.7480504
11316,NL,"Ministerie van Defensie, Nieuwe Haven Terrein",359,NL-200500057,1,A,2018,70674,70674,2008,NOT SET,OPEN,100731,52.9573916,4.800692
11317,NL,Moerdijk Production Site Basell Benelux B.V.,205142,NL-201100011,42,A,2018,85660,85660,2013,NOT SET,OPEN,110537,51.6692314,4.5772303
11318,NL,Monier Tegelen,205348,NL-200400239,32,A,2018,63572,63572,2013,NOT SET,OPEN,110647,51.3376531,6.1408191
11319,NL,Monier Woerden,205387,NL-200400238,32,A,2018,64238,64238,2013,NOT SET,OPEN,110660,52.0851441,4.8687397
11330,NL,NXP Semiconductors Nijmegen,365,NL-200500013,1,A,2018,52336,52336,2008,NOT SET,OPEN,100737,51.8248308,5.8172896
11348,NL,Nuon HWC Duiven-Westervoort,249,NL-200500104,1,A,2018,4910,4910,2008,NOT SET,OPEN,101218,51.9568502,5.9830343
11349,NL,Nuon HWC Lelystad,438,NL-201000017,1,A,2018,13492,13492,2010,NOT SET,OPEN,101220,52.492825,5.4738856
