"SiteID";"CompanyName";"SiteName";"Address";"CityCode";"City";"Country";"geom";"Subsector";"DataSource";"Emissions_ETS_2014";"Emissions_EPRTR_2014";"Production";"Fuel_Demand";"Excess_Heat_100-200C";"Excess_Heat_200-500C";"Excess_Heat_500C";"Excess_Heat_Total"
3175;"Oy Turku Energia Åbo Energi Ab";"Taalintehtaankadun siirrettävä lämpökeskus";"Taalintehtaankatu 1";"20750";"Turku";"Finland";"SRID=4326;POINT(22.337939 60.435206)";"Other non-classified";"ETS";37.00;;;;0.00;0.00;0.00;0.00
3176;"Kajaanin Lämpö Oy";"Takojankadun lämpökeskus";"Takojankatu 4";"87100";"Kajaani";"Finland";;"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3177;"Vatajankosken Sähkö Oy";"Tapalankadun lämpökeskus";"Tapalankatu 20";"38701";"Kankaanpää";"Finland";"SRID=4326;POINT(22.392641 61.801981)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3178;"Tornion Energia Oy";"Tapiolantien lämpökeskus";"Tapiolantie 6 ";"95410";"Kiviranta";"Finland";"SRID=4326;POINT(24.178707 65.856808)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3179;"Vaasan Sähkö Oy";"Runsorin siirrettävä lämpökeskus";"Tarhaajantie 2 ";"65380";"Vaasa";"Finland";"SRID=4326;POINT(21.73099 63.059102)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3180;"Paimion Lämpökeskus Oy";"Siirrettävä lämpökeskus 7";"Tehdastie 8";"21530";"Paimio";"Finland";"SRID=4326;POINT(22.705505 60.450933)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3181;"Paimion Lämpökeskus Oy";"Siirrettävä lämpökeskus 8";"Tehdastie 8";"21530";"Paimio";"Finland";"SRID=4326;POINT(22.705505 60.450933)";"Other non-classified";"ETS";48.00;;;;0.00;0.00;0.00;0.00
3182;"Tampereen Energiantuotanto Oy";"Myllypuron varalämpökeskus";"Teollisuustie";"33330";"Tampere";"Finland";"SRID=4326;POINT(23.588224 61.504089)";"Other non-classified";"ETS";14.00;;;;0.00;0.00;0.00;0.00
3183;"Ovako Imatra Oy Ab";"Imatran terästehdas";"Terästehtaantie 1";"55100";"Imatra";"Finland";"SRID=4326;POINT(28.79742 61.154446)";"Iron and steel";"ETS";54133.00;;73301.01;11.19;0.00;3.35;2.01;5.37
3184;"Suur-Savon Sähkö Oy";"Satelliittipuiston lämpökeskus";"Tietokatu 3 ";"57210";"Savonlinna";"Finland";"SRID=4326;POINT(28.97574 61.87515)";"Other non-classified";"ETS";190.00;;;;0.00;0.00;0.00;0.00
3185;"Wienerberger Oy Ab";"Lappilan tiilitehdas";"Tiilitehtaantie 11";"16670";"Lappila";"Finland";"SRID=4326;POINT(25.17875 60.846915)";"Non-metallic mineral products";"ETS";3915.00;;;;0.00;0.00;0.00;0.00
3186;"Wienerberger Oy Ab";"Korian tiilitehdas";"Tiilitehtaantie 60";"45610";"Koria";"Finland";"SRID=4326;POINT(26.602946 60.845462)";"Non-metallic mineral products";"ETS";4173.00;;;;0.00;0.00;0.00;0.00
3187;"Nivalan Kaukolämpö Oy -";"Meijerin lämpökeskus";"Toritie 3 ";"85500";"Nivala";"Finland";"SRID=4326;POINT(24.957116 63.93254)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3188;"Lahti Energia Oy";"Riihelän lämpökeskus";"Törmäkatu 1";"15840";"Lahti";"Finland";"SRID=4326;POINT(25.565239 60.983626)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3189;"Jakobstads Energiverk";"Baggholmens värmecentral";"Tunvägen 38";"68630";"Jakobstad";"Finland";"SRID=4326;POINT(22.680151 63.657659)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3190;"Fortum Power and Heat Oy";"Tuusulan lämpölaitos";"Tuotantotie";"48";"Fortum";"Finland";;"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3191;"Suur-Savon Sähkö Oy";"Tuottajantien lämpökeskus";"Tuottajantie";"57230";"Savonlinna";"Finland";"SRID=4326;POINT(28.970231 61.853959)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3192;"Etelä-Savon Energia Oy";"Tuukkalan lämpökeskus";"Tuukkalankyläntie 1 ";"50100";"Mikkeli";"Finland";"SRID=4326;POINT(27.260388 61.639669)";"Other non-classified";"ETS";4.00;;;;0.00;0.00;0.00;0.00
3193;"Liikelaitos Salon Kaukolämpö";"Uhrilähteenkatu";"Uhrilähteenkatu 6";"24100";"Salo";"Finland";"SRID=4326;POINT(23.120876 60.401013)";"Other non-classified";"ETS";71.00;;;;0.00;0.00;0.00;0.00
3194;"Fortum Power and Heat Oy";"Ukonmäen lämpökeskus";"Ukonmäki, Joensuu";"2201";"Espoo";"Finland";;"Other non-classified";"ETS";1036.00;;;;0.00;0.00;0.00;0.00
3195;"Rauman Energia Oy";"Uotilan lämpökeskus";"Uotilan vanhatie 68 ";"26510";"Rauma";"Finland";"SRID=4326;POINT(21.577705 61.132262)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3196;"Fortum Power and Heat Oy";"Utran lämpökeskus";"Utra, Joensuu";"2201";"Espoo";"Finland";;"Other non-classified";"ETS";269.00;;;;0.00;0.00;0.00;0.00
3197;"Tervakoski Oy";"Tervakosken tehtaat";"Vähikkäläntie 1";"12400";"Tervakoski";"Finland";"SRID=4326;POINT(24.615982 60.81097)";"Paper and printing";"ETS";57467.00;;239060.82;365.23;36.52;0.00;0.00;36.52
3198;"Vapo Oy";"Väinöläntien lämpökeskus";"Väinöläntie 1";"81700";"Lieksa";"Finland";"SRID=4326;POINT(30.030668 63.328688)";"Other non-classified";"ETS";81.00;;;;0.00;0.00;0.00;0.00
3199;"Savon Voima Oyj";"Vanha Jäppiläntie";"Vanha Jäppiläntie";"76100";"Pieksämäki";"Finland";"SRID=4326;POINT(27.182533 62.310619)";"Other non-classified";"ETS";11.00;;;;0.00;0.00;0.00;0.00
3200;"Valkeakosken Energia Oy";"Ammattioppilaitoksen varalämpökeskus";"Vanhankyläntie 2";"37600";"Valkeakoski";"Finland";"SRID=4326;POINT(23.992124 61.289937)";"Other non-classified";"ETS";2.00;;;;0.00;0.00;0.00;0.00
3201;"Elenia Lämpö Oy";"Sairion lämpökeskus";"Vankanlähde 7";"13101";"Hämeenlinna";"Finland";"SRID=4326;POINT(24.477811 60.974919)";"Other non-classified";"ETS";96.00;;;;0.00;0.00;0.00;0.00
3202;"Nivalan Kaukolämpö Oy -";"Kyläoja";"Vapaudentie 33";"85500";"Nivala";"Finland";"SRID=4326;POINT(24.949709 63.9265)";"Other non-classified";"ETS";1.00;;;;0.00;0.00;0.00;0.00
3203;"Oy Turku Energia Åbo Energi Ab";"Vaskikadun siirrettävä lämpökeskus";"Vaskikatu";"20380";"Turku";"Finland";"SRID=4326;POINT(22.314593 60.503156)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3204;"Kajaanin Lämpö Oy";"Lohtajan lämpökeskus";"Velhontie 19";"87100";"Kajaani";"Finland";"SRID=4326;POINT(27.677732 64.221805)";"Other non-classified";"ETS";33.00;;;;0.00;0.00;0.00;0.00
3205;"Suur-Savon Sähkö Oy";"Vetehisenkadun lämpökeskus";"Vetehisenkatu";"57200";"Savonlinna";"Finland";"SRID=4326;POINT(28.921924 61.872482)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3206;"Jakobstads Energiverk";"Centralstationens värmecentral";"Victor Schaumanesplanaden 1";"68630";"Jakobstad";"Finland";"SRID=4326;POINT(22.71202 63.677757)";"Other non-classified";"ETS";4.00;;;;0.00;0.00;0.00;0.00
3207;"Kajaanin Lämpö Oy";"Puomirinteen lämpökeskus";"Viittatie 12";"87100";"Kajaani";"Finland";"SRID=4326;POINT(27.754539 64.237272)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
3208;"Oy Perhonjoki Ab";"Visalan lämpökeskus";"Visalantie";"84100";"Ylivieska";"Finland";"SRID=4326;POINT(24.498538 64.099411)";"Other non-classified";"ETS";;;;;0.00;0.00;0.00;0.00
