,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WAI091P089,8102,8257,7529,11206,4301,2768,6707,9742,5158,5144,4046,2086,473,,
VL108,209281,238864,191918,188203,140418,240927,175840,210743,236454,191433,232522,245761,192017,224554,237804
VL109,,,,,,,,,15,268,12,12,16,13,13
VL113,,,,,,,,,3380,2948,3288,3083,9197,8653,7603
VL107,69600,64405,67280,66973,66287,63843,59316,57580,59840,55199,53379,50489,48015,46911,48250
WAI021P115,120890,114769,98349,96708,102581,112437,106671,126702,112748,93352,127791,124944,104406,119393,127631
WAI031P093,608635,710345,706775,695438,643163,511558,633064,619600,624705,642502,577870,644432,613280,659747,
WAI032P105,171567,173191,214703,155095,199604,200364,193727,206968,143154,80830,,,,,
WAI033P091,1059929,1250666,1165459,1139474,955732,917216,894070,868427,940962,987407,940051,984128,973358,971245,995030
WAI034P080,1511543,1459329,1449612,1425171,1313762,1272210,1333035,1236492,1140875,1302434,1062154,1069571,1120875,1149533,1375955
WAI023P013,467588,512038,509144,553909,410287,470095,465485,388674,399064,472153,494112,488041,473723,476691,475372
WAI024P012,269713,293107,303474,271914,282534,228353,259062,236072,266410,299355,290301,189758,226945,291969,218330
WAI025P011,130160,153428,85706,91857,0,8831,55681,62118,33128,0,1393,30350,55426,55075,54169
WAI310P147,682335,640454,375381,520896,1243,0,0,0,0,Excluded,Excluded,,,,
VL160B,,,,,,,,,10454,11277,94753,88690,55659,30874,38658
VL160A,,,,,,,,,59033,49277,45448,60874,58359,66979,60826
VL905,,,,,,,,,21016,30285,36716,38788,15936,,
VL751,33764,33496,34325,30976,26580,27509,27470,26481,22888,24262,22875,19969,22098,20378,19438
VL702,61059,58573,58328,29840,20841,19991,28378,21126,21322,26860,28608,23984,24595,30530,30273
WAI039P121,19187,19631,21261,17854,16072,18755,20188,16597,12890,15561,19138,16052,15856,20191,22086
WAI040P122,5535,5752,6111,6503,5187,4244,5167,3739,1707,Excluded,,,,,
VL712,5434,6132,7029,6853,7021,7117,6117,4842,4142,4228,4485,4966,5643,5091,6057
WAI042P015,91992,99350,107602,95410,122901,80061,78822,74279,4460,0,,,,,
VL724,,,,,,,,12395,20163,23584,22144,27660,21910,20418,22236
WAI046P114,31512,30199,31240,32197,31639,26711,25069,19870,18999,16250,17155,18155,15625,17219,8714
VL158,,,,,,,,,3866,3940,4100,3947,4284,4964,5480
WAI058P069,17571,22110,24134,25006,14366,19758,21271,17260,12891,7814,214,201,,,
WAI099P008,28875,30223,29138,28699,28497,27340,26454,28079,27115,26492,26525,26208,25117,23232,23831
VL193,1790991,1694078,1835089,1666099,1839391,1798914,1937506,2028106,1742152,2017865,1957465,1932514,1883919,1994945,2093011
VL166B,,,,,,,,,47548,18299,5415,7397,9120,9441,13430
VL166C,,,,,,,,,202453,149150,54486,59536,106319,68401,69784
VL166D,,,,,,,,,123106,143590,130522,91072,69017,86681,72784
WAI150P046,31271,28348,26095,23765,19263,21822,23321,20950,23080,24091,27799,27717,27974,28978,26754
VL123,269929,299118,301337,357233,353627,445860,503509,496832,498451,530252,537854,534504,516669,555072,529682
