,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PL-0632-05,2604,0,0,0,9717,6375,14832,634,0,,,,,,
PL-0421-05,2896,2875,3009,3008,2966,2687,2765,2571,2665,2908,3200,2813,3476,3436,3541
PL-0678-05,667793,847572,1246138,1102498,819751,892853,1181396,966720,848221,893478,767451,916343,1047958,1180034,1226139
PL-0677-05,847337,987512,1088946,1022289,892852,1084116,1168796,1035729,934346,1080125,971944,1094119,1025379,1146733,
PL-0734-05,129000,134065,133376,133149,136527,137598,134925,138745,140081,141147,133250,130001,134925,83983,139792
PL-0767-05,24651,24124,28097,27818,24361,25219,26480,27272,24229,23514,25739,24993,24572,24554,13717
PL-0771-05,11408,10244,11652,10523,11748,11525,11662,11707,11234,12549,12643,12996,13055,12956,
PL-0768-05,30601,31112,30987,29751,25227,29500,30477,28660,28890,29600,29304,35082,47687,,
PL-0718-05,1528,6967,18467,20596,15510,18184,15415,18368,17797,22075,20058,24603,22469,22473,6456
PL-0826-05,9423,8249,10447,8034,7236,9339,7834,7490,5090,5937,5144,Not Reported,,,
PL-0831-05,0,4688,14774,11138,11464,10871,2692,0,0,Not Reported,Not Reported,Not Reported,,,
PL-0863-05,1056,956,817,292817,369814,365582,365644,339713,377487,359482,457191,361399,197257,109507,152217
PL-1011-13,,,,,,,,,2238,3027,4815,7144,9162,10279,8443
PL-0921-08,,,,27094,25467,33369,33095,34732,34393,37066,36040,38140,38042,40280,39613
PL-1002-13,,,,,,,,,5743,6354,5809,6186,6737,6007,6119
PL-0643-05,18244,16237,17393,17921,15230,13463,14224,17182,15493,14164,12964,12990,11504,13279,12466
PL-0749-05,6145,5230,15208,15335,15125,16083,14991,13282,2815,,,,,,
PL-0897-08,,,,850723,783642,771024,814980,774942,850822,805728,866730,732701,806581,863002,889428
PL-0998-13,,,,,,,,,24455,24966,21659,23329,22798,22089,19473
PL-1059-08,,,,,,,5137,27590,25882,25604,24486,23864,26692,28007,20566
PL-0761-05,25485,25290,22090,21421,9523,6848,9544,9319,10221,14945,20333,15354,18340,19795,13999
PL-0691-05,4832,5872,7662,6305,6343,5782,4590,4518,5788,4798,8945,7831,7826,9390,9526
PL-0701-05,3713,2828,3229,2780,3363,3482,3147,2830,2913,2667,2819,4167,3072,3013,2709
PL-0709-05,1849,2998,3219,2852,3073,2735,2346,3163,3928,3589,1885,2459,3273,3340,2806
PL-0727-05,2264,2230,3215,2821,2669,2697,2226,2410,2324,2555,2907,2732,2839,3808,3120
PL-0696-05,3164,2963,3460,3910,3144,3355,3388,3642,2807,2527,2606,4783,3881,3162,4291
PL-0723-05,3467,5073,4175,3367,3903,4088,3796,3437,5175,5333,4630,5166,5667,6976,6180
PL-0725-05,2846,2075,3539,2966,2940,3243,2640,2591,2210,2255,3321,2929,3168,4275,3730
PL-0716-05,2648,2885,2952,2397,2194,2400,2014,1890,2870,2619,2054,3029,3992,3872,5520
PL-0695-05,4310,4378,4026,5501,5455,5635,4056,5113,4472,4605,4535,4149,5066,4964,4680
PL-0703-05,3396,5133,5216,4505,5817,4068,2886,3123,2370,3037,3385,3940,4295,4733,3920
PL-0704-05,2548,2281,2483,2182,2576,4400,4373,5522,4244,5672,4339,4569,5365,6900,4053
PL-0705-05,2146,2363,2214,2239,2618,2101,1668,1626,1562,1545,1021,1728,1991,2190,0
PL-0706-05,1718,1419,1937,1894,2611,2899,2020,3070,2741,3156,3037,2948,3186,4016,3153
PL-1099-13,,,,,,,,,,,,,11313,17581,30534
PL-0810-05,8451,9999,9790,10157,9306,5733,7092,5494,0,0,0,,,,
PL-0409-05,7607,5279,5232,5730,3917,3923,4779,3649,3667,3804,,,,,
PL-0900-05,,3246,3965,4110,4011,4071,3892,3875,3865,4556,4964,4947,4912,5015,4709
PL-0874-05,5203,4424,4613,4531,4360,4073,4726,5259,4885,5073,5019,5173,5329,5354,5527
PL-0775-05,51124,52455,45000,36304,24877,36546,28442,40635,26850,20927,22197,21998,34674,11934,0
PL-0728-05,2193,1990,2801,2137,3895,3847,2856,2507,2262,2273,4291,4508,4623,3856,6979
PL-0986-13,,,,,,,,,7110,4113,577,517,0,0,0
PL-0774-05,106913,128433,137506,115731,45886,29735,46406,5148,0,0,0,0,0,0,
PL-0776-05,11967,9703,8570,9788,12865,12864,13950,12743,15616,16832,16501,15358,15578,13669,10797
PL-0756-05,104567,109628,106938,109620,105034,95297,100207,95872,98000,99530,71459,92484,94682,97025,92106
PL-1053-13,,,,,,,,,44404,46524,36482,40707,36060,46283,41308
PL-0637-05,27579,46335,42176,29909,27933,30538,30636,27816,27815,27274,75,,,,
PL-0814-05,20446,22330,25982,21953,14445,20093,16729,18345,14747,15031,14885,16778,7542,12778,12700
PL-0828-05,28199,24131,27380,23562,22955,10487,12365,12668,6812,10430,66,8,910,,
PL-1105-13,,,,,,,,,,,,,,4852,5187
PL-0416-05,6970,10520,12523,11795,12540,15051,13693,14149,15640,15234,14190,16252,16925,16816,16583
PL-0417-05,31536,33823,33602,31498,28768,31824,29421,30760,30831,30051,31967,31982,33136,30319,31591
PL-0827-05,26054,29953,32722,29579,30137,21449,21306,3374,0,,,,,,
PL-1089-13,,,,,,,,,,,,18658,33284,35054,34460
PL-0236-05,64660,59051,59353,60212,61724,69987,60376,59898,57922,52490,56868,60097,64603,61702,61886
PL-0769-05,5747,4127,4868,4527,2536,3537,3128,3086,3304,3413,3281,3687,3361,2650,2838
PL-0639-05,2452541,2161551,1892426,2053013,2108110,2021453,2010815,2172935,2529377,2281754,2631913,2556591,2513764,2663180,2798447
PL-0641-05,7904,7891,4601,4466,1,1,3,74,53,5,29,239,Not Reported,Not Reported,
PL-0838-05,63998,54195,58931,63592,60144,62157,57769,62362,59742,55635,43851,51715,56304,48837,47956
PL-0667-05,3167870,4138573,4383775,1128417,832166,1240364,1293915,1463065,1524360,1665911,1682177,1525360,1566704,1614716,1517219
PL-0666-05,1714995,1895596,1822112,527599,318931,204055,270243,55893,0,0,0,0,0,,
PL-0658-05,109095,143334,158942,152382,150154,160038,170116,163944,136512,100309,116065,118097,127941,133551,123784
PL-0660-05,28643,31564,42644,36120,19926,23491,32396,31102,31555,30865,30396,29828,32921,35094,36220
PL-0663-05,47807,64007,65622,67456,40229,53029,61209,55635,52290,49745,49516,51801,62975,53890,50353
PL-0661-05,15416,18787,16676,19890,17107,16989,16794,12858,15232,15354,14719,14513,18170,17422,13945
PL-0664-05,106008,107019,121809,119068,82100,95300,66401,66007,20512,6215,48883,39070,92623,82083,31476
PL-0954-08,,,,10270,8247,5780,2618,2300,1579,455,190,577,1149,1453,870
PL-0739-05,39068,38605,34581,37469,31686,33612,24257,13700,15050,15027,14973,14642,14636,14638,13222
PL-1040-13,,,,,,,,,149889,150028,169862,210097,266575,263309,280729
PL-1041-13,,,,,,,,,179688,196191,192065,201166,194827,200714,195597
PL-0743-05,9221,8166,9090,10754,12776,12842,12031,11917,8377,6320,8558,6169,5997,5862,6223
PL-0999-13,,,,,,,,,38385,39567,38059,35605,31639,26673,25468
PL-1000-13,,,,,,,,,32051,27234,27536,29031,26521,24649,24043
PL-0955-08,,,,20901,22629,24007,25444,31479,40196,49681,52898,56408,64987,41627,42553
PL-1107-13,,,,,,,,,,,,,,18540,26623
PL-0989-13,,,,,,,,,41928,39417,45184,41467,34567,34672,33729
PL-0766-05,14739,14627,14623,14655,9794,12136,12856,13509,12079,12166,12777,12706,13020,13388,13086
PL-0778-05,13986,13576,16301,19099,15013,17241,17134,16744,14635,14743,14240,14844,16431,17214,18334
PL-0913-08,,,,45109,50156,46362,101023,120677,100700,101974,95228,101505,116730,111911,91648
PL-0918-08,,,,423870,277353,303154,265086,190537,217893,214951,291088,268047,284594,258549,
PL-0919-08,,,,158948,128644,160210,164434,165959,177689,186933,195135,224432,244769,259109,218447
PL-0920-08,,,,34899,31159,34036,34439,35954,39547,43025,44669,45560,46740,39171,39073
PL-1014-13,,,,,,,,,13499,12089,8348,3488,,,
PL-0973-08,,,,,,,28683,29549,32830,32914,33887,34068,37894,36016,37734
PL-0912-08,,,,70134,66034,58627,63559,63534,46200,32964,36133,36511,35533,31446,36046
PL-0916-08,,,,42933,22858,32097,38912,34212,28700,31862,34906,34988,34474,33271,33850
PL-0760-05,25900,24193,25925,25913,27143,28518,27586,24692,25402,25271,29587,28000,32168,33334,30476
PL-0908-08,,,,165241,111598,150694,154787,174161,296153,355187,353168,330849,355998,343017,371022
PL-0418-05,16452,17331,19954,22894,19265,20317,17249,20651,19004,18400,19532,18925,32483,34450,30471
PL-1001-13,,,,,,,,,34084,25203,28472,30691,29345,28197,27710
PL-0907-08,,,,3198708,1784222,2914880,2887000,2610653,2192758,2531252,2582521,2791813,2732272,2427068,2257932
PL-0906-08,,,,1586155,848321,373477,649738,835041,861368,915182,900184,639066,1021555,916846,780574
PL-1110-13,,,,,,,,,,,,,,3991,9552
PL-1019-13,,,,,,,,,8867,10550,9586,9567,9571,8062,7849
PL-0924-08,,,,31894,14767,12884,622,6061,23718,25931,11147,0,2324,5810,9509
PL-0984-13,,,,,,,,,15311,15443,15394,16617,16452,17164,13670
PL-0759-05,116463,118030,113550,118193,18789,0,77046,106436,107159,107536,108828,108656,107752,44622,96586
PL-0974-08,,,,,,,63699,88474,82823,80153,77233,74594,79428,83254,92858
PL-1095-13,,,,,,,,,,,,1610,9972,6572,
PL-0979-13,,,,,,,,,22932,27613,31324,27330,28317,31128,34742
PL-0796-05,2795,2886,4430,3855,0,0,680,671,701,208,238,157,,,
PL-0753-05,172109,172795,174371,172244,168983,174417,168909,168105,165438,159387,163012,160096,165891,163235,164805
PL-0754-05,46857,46815,48409,43680,43734,43455,43640,44257,43221,41589,42041,42738,37470,38402,
PL-1027-13,,,,,,,,,822369,803772,773575,888567,815981,809542,796456
PL-0848-05,18258,19041,19380,24664,20867,18918,18710,22867,16671,25019,23708,25722,23719,23928,24634
PL-0840-05,17048,18072,14483,22986,19909,16615,24462,28372,20190,18673,22865,22557,24839,22122,27297
PL-0847-05,18065,18309,20387,23563,7416,14854,24269,6865,3960,7493,8386,11385,15629,16154,13403
PL-0845-05,8028,9578,9235,8855,8601,4166,5359,4214,3428,3851,0,0,,,
PL-0783-05,9820,22049,27576,32074,23698,13886,26836,18521,22993,25332,28448,31029,30859,29348,30985
PL-0841-05,27200,23703,29605,19133,19250,38133,37329,29635,30727,17729,26075,37576,38514,33575,27960
PL-0856-05,10346,10049,11540,9930,14354,11623,10024,10374,14191,13903,13941,21096,19933,20500,
PL-1117-13,,,,,,,,,,,,,,2063,14715
PL-0926-08,,,,29594,26726,29153,26783,26115,20867,18958,11131,11815,13498,14273,11784
PL-0888-05,13381,12370,13034,12686,11972,11604,8882,6898,6631,6541,3828,6827,6639,10537,9387
PL-0846-05,11539,9738,9791,10197,6999,10895,10797,7729,6084,8717,7593,6631,6812,7006,0
PL-0917-08,,,,132892,60832,59793,59272,80546,64798,52567,52714,44506,62390,49120,23726
PL-0657-05,86331,83378,86504,92006,87578,75390,80797,72886,73220,93554,90257,102085,99015,77661,64672
PL-0867-05,16101,15756,15148,13994,12702,14655,14704,14743,14864,15094,16018,16227,16967,16863,17182
PL-1043-13,,,,,,,,,21136,19618,21184,19637,19443,18705,19980
PL-0821-05,8109,12049,7084,1882,10531,11250,8471,6922,2756,0,,,,,
PL-0816-05,12476,8865,9125,8240,6376,4941,4213,3938,4477,6294,6348,6482,6240,6172,7926
PL-1042-13,,,,,,,,,22538,24019,25664,25495,22153,24074,23323
PL-0967-08,,,,,2374,48180,35542,40053,38467,33158,39437,27480,42563,44657,45233
PL-0985-13,,,,,,,,,35031,37004,39984,43066,48596,40525,44520
PL-1075-13,,,,,,,,,,1,12305,17148,13256,13880,8879
PL-1003-13,,,,,,,,,33230,30936,36620,34517,35049,41859,30670
PL-1004-13,,,,,,,,,45492,35892,42605,37887,31561,32977,30780
PL-1078-13,,,,,,,,,,,4408,28205,32655,35691,34441
PL-1005-13,,,,,,,,,17007,14066,22582,18790,12754,9826,18165
PL-0789-05,10040,10956,11138,8746,9723,12090,5310,103,0,,,,,,
PL-0987-13,,,,,,,,,20044,20734,14244,15826,18347,19111,18957
PL-1083-13,,,,,,,,,,,,16636,17219,33334,38100
PL-1032-13,,,,,,,,,30004,29420,27483,28296,34266,33542,35430
PL-1038-13,,,,,,,,,2216913,2195482,2303502,2204114,2188385,2164238,2164747
PL-1031-13,,,,,,,,,93723,119360,129244,131342,146845,147941,172648
PL-0262-05,74236,73770,69104,67409,61306,67910,55619,55354,58986,47209,47648,49797,49505,50296,47010
PL-0659-05,15758,30864,30482,38081,20795,21152,30811,27210,23527,30180,29635,32328,36921,34717,35435
PL-1106-13,,,,,,,,,,,,,,4215,4785
277,,,,,4911,25988,26884,23837,25055,28449,28173,28986,311544,306179,286674
TEGEE217,,,,,,,,,7029,5737,4806,5392,5822,4748,5453
TEGEE198,,,,,,,,,8653,7926,7192,9456,13036,13359,11166
TEGEE-238,,,,,,,,,16823,22069,23334,22927,24113,26442,21774
PT-NEW-299,,,,,,,,,3907,3729,4699,4725,5146,5852,5203
135,3795,3642,3855,0,0,0,0,,,,,,,,
153,2831,2647,2841,,Not Reported,Not Reported,,,,,,,,,
242,,,,,,,,,12508,13012,8310,10260,13008,8961,13637
243,20020,19954,19903,,Not Reported,Not Reported,,,,,,,,,
241,,,,,,,,,5789,5874,5694,6436,6733,6202,6503
110,0,24,0,0,0,0,0,0,957,Not Reported,Not Reported,Not Reported,,,
191,14467,14099,14168,12219,11855,13438,13559,15232,24866,29411,27453,24681,22750,18821,24639
209,8829,8852,8219,,Not Reported,Not Reported,,,,,,,,,
35,0,0,0,0,0,0,0,0,33,30,5,0,0,0,0
50,23800,25320,26829,32004,32728,33324,35646,34020,30787,27888,26980,26460,22780,25757,27453
48,47947,53916,49052,72500,79644,75132,65560,63596,74202,72429,65259,64020,65183,67104,61388
97,37336,25103,26873,56007,54463,35873,30086,29065,51875,48932,46851,39140,28316,59180,53210
147,11524,13536,9138,,Not Reported,Not Reported,,,,,,,,,
86,7408,7873,7627,8120,10377,10973,10890,10059,8400,8475,10218,13674,13194,11715,11830
294,,,,,,,,,62985,64523,63737,63342,67927,61533,58313
172,510379,486721,516607,476804,341219,342016,169932,316732,362956,320764,370624,251641,266703,263416,271985
174,1702804,1713254,1771817,1665408,1123212,1384602,1212411,1033319,938139,1127193,1248989,878798,863182,889585,878093
TEGEE-184-02-III,,,,,,,,,6897,6178,3381,4755,4238,5205,4971
236,18752,11282,10994,7716,10607,10222,8073,10391,25543,9672,11733,11345,13460,14169,15079
237,11202,8865,9167,6328,7613,7448,7232,5840,10048,5563,7099,6686,8884,9329,10321
229,1609,291,0,0,48,0,0,0,0,Not Reported,Not Reported,,,,
112,8275,7073,6582,6130,4440,3875,3223,1437,2910,854,432,406,662,613,592
133,4325,3399,5641,3502,3147,3295,3090,2941,4158,3610,1486,296,Not Reported,Not Reported,
136,612,74,0,0,186,388,386,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,
84,8605,7776,6615,6888,5894,5966,3144,845,3330,3893,4670,6514,7515,8009,8867
180,12377,10084,8508,11546,8327,8207,7922,7583,8570,8208,6822,4940,3781,3338,3848
155,7248,6616,1071,7790,7689,6666,6675,4136,11369,6059,5465,6328,6918,10147,10949
154,5418,4849,6179,4588,2341,3299,2676,1789,5636,4358,4552,1872,3100,1959,1763
90,2517,1534,1951,1116,1515,849,0,0,Not Reported,Not Reported,Not Reported,Not Reported,,,
140,3855,2880,2380,2466,2326,384,0,0,0,Not Reported,Not Reported,Not Reported,,,
146,3922,4573,5344,5113,3643,2587,3839,2360,1417,0,Not Reported,,,,
193,3286,1378,0,539,93,0,0,0,0,Not Reported,Not Reported,Not Reported,,,
124,8991,9550,10885,10247,13593,13669,12041,10577,16255,10876,10223,10402,9930,11347,12799
156,5127,4150,378,156,85,86,88,38,3693,4397,1211,639,533,825,1141
139,7923,6831,8106,5271,1333,479,0,0,0,0,Not Reported,,,,
115,6454,6044,3259,15,3,6,4,3,3416,156,144,214,385,785,451
173,1841897,1716593,1808504,1619196,1247628,1321203,966917,893911,1484124,1471308,1307922,976183,1266714,940174,911858
15,32553,34284,35855,35768,35466,37810,38199,38290,38604,39820,37857,38004,38419,38816,38385
188,20197,20074,20725,,Not Reported,Not Reported,,,,,,,,,
179,0,0,0,0,0,15,1,0,0,0,0,,,,
215,4544,4318,4036,3882,3426,2726,0,0,0,Not Reported,Not Reported,,,,
295,,,,,,,,,6153,5677,5478,6719,5155,4447,4040
39,20880,21399,21043,19809,18246,23440,23045,23107,23618,23890,26438,27103,26937,28319,28628
157,3055,3607,2971,1622,3207,3020,1003,768,5912,1505,1633,1590,1029,989,476
312,,,,,,,,,,,5806,8165,8742,10572,11273
225,8950,5710,8579,6487,6609,6150,5763,5500,5528,6453,6791,6986,7301,6096,5849
64,7692,6580,7989,2494,942,3083,2572,2875,3040,2945,3239,3126,3323,3219,6977
93,9526,8865,8773,8641,8167,7677,7117,6342,7056,6894,5142,5272,5444,5224,5537
171,25129,27622,27081,33747,43631,44311,43048,42509,47587,47723,47286,44820,48589,53885,51220
104,421716,428887,460803,436945,389008,390795,321439,271162,234471,294362,251742,240510,272582,266971,240207
103,728687,749161,769594,739798,664735,628419,565224,462340,358295,400530,365741,375708,368717,354069,352653
102,1404105,1410564,1385241,1437446,1338973,1296394,1209809,999049,955408,1231648,1049995,900476,949710,835267,843186
98,85540,94047,95811,89269,99422,96027,99615,99837,99280,105520,106114,99222,87618,88572,94262
177,59528,61560,60557,60230,54631,56936,67335,68582,73385,77404,78670,80010,74742,86215,84326
99,70846,68993,93153,93699,93263,89907,88263,102357,104429,98647,99392,98911,98026,99891,99220
175,51312,45708,37912,33904,23621,21255,16247,11537,1527,Not Reported,Not Reported,,,,
94,393,136,133,9257,8667,10834,11874,8998,8665,6449,4331,2854,3883,0,
PT-301,,,,,,,,,3281,3392,3324,3033,3409,3223,3266
186,3710,3714,4039,3706,3605,4256,3982,3020,2692,2891,3003,2996,2896,2873,2626
181,147,66,29,0,0,0,0,0,4028,4028,4028,Not Reported,,,
87,2322,2089,2370,2049,1324,1680,1764,910,858,936,1382,1742,1718,1592,799
52,89606,89958,89848,82215,80475,75465,68125,77943,78235,79794,70526,78686,79360,80650,79640
TEGEE218,,,,,,,,,18209,17215,22841,26086,26407,30225,29366
TEGEE190,,,,,,,,,14023,15101,18126,19350,19098,19374,20324
TEGEE187-01-III,,,,,,,,,14581,14527,13728,13745,15095,16200,14603
TEGEE189,,,,,,,,,2467,826,0,0,0,Not Reported,
226,,,,,,,,,10402,7277,6967,4050,0,0,
192,4302,6258,7032,4662,3380,3298,3119,2848,3025,2646,2127,2175,2536,2120,1914
TEGEE-304,,,,,,,,,15732,12994,14504,14253,16744,16543,17580
247,,1778,2750,0,0,0,0,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,
113,8892,8963,7884,7722,11233,9385,8521,7968,10776,7661,7929,7540,8227,7557,5581
311,,,,,,,,,32137,4196,4972,13,0,34653,52142
79,237671,228118,262113,277672,252529,276771,325726,317723,322084,353529,375873,353280,370048,384566,368006
195,3207,3278,3176,3152,2758,2027,2005,2631,3701,2553,Not Reported,Not Reported,Not Reported,Not Reported,
70,6476,6362,6978,7263,7230,6934,1468,1555,4029,3911,7304,7304,Not Reported,Not Reported,
108,4347,3547,4009,865,1,0,0,0,906,898,134,84,172,121,126
216,,,,,,,,,8246,8870,8813,4514,5597,25310,
32,30822,32105,40270,39458,30811,35196,41311,35808,42487,37973,35449,37290,35477,28716,30013
308,,,,,,,,,,,,,4755,65261,74500
PT-NEW-300,,,,,,,,,4831,8029,6384,4863,6704,5913,6368
145,26470,35948,37827,21716,23736,21083,20786,34010,31409,37225,48697,51767,54858,54587,45343
23,34732,31215,31814,31732,41082,48184,38545,31421,39695,44627,51578,51499,53781,59895,59308
24,,,,,,,0,0,0,0,0,0,0,0,
316,,,,,,,,,,,,,,5142,17031
278,,,,,3656,9574,9949,10319,10719,10623,12487,16637,20313,20879,21023
151,2759,2495,0,1,0,1,1,0,0,Not Reported,Not Reported,Not Reported,,,
61,3005,3410,3161,2853,2978,2419,2348,2379,2437,2070,1663,2517,2581,2432,2370
314,,,,,,,,,,,,,6810,11448,11468
88,6855,6100,6883,6201,6130,6199,6263,8609,10236,10846,10617,9560,9519,10432,10497
297,,,,,,,,,599,863,2020,3881,4076,3787,4695
22,104708,81288,79812,64524,53146,39386,22021,25473,3358,5451,5974,3449,Not Reported,Not Reported,
65,0,0,0,0,0,0,0,0,1,7347,7233,7500,7691,7353,6647
239,9634,9254,15040,11418,13606,13828,11746,6874,14149,7417,8626,8790,11415,13521,15305
302,,,,,,,,,5825,4422,5329,5744,5827,6044,5722
122,6312,6012,6119,5092,1113,4,1,0,4739,4187,3956,4063,3575,1304,
214,29717,25964,24602,,Not Reported,Not Reported,,,,,,,,,
196,2063717,2116194,2095404,1828181,1728219,2050717,1769213,1899794,2687770,2219081,2547397,2516364,2604951,2359050,2349393
197,945313,902186,842969,1121765,887856,781425,842969,822236,1008617,883209,920632,907767,973217,857169,909316
200,,,,,,,,,16213,14970,14689,12290,14172,14755,14231
206,,,,,,,,,7812,5731,6142,5368,5333,5322,5275
TEGEE317,,,,,,,,,,,,,,314,12640
253,,,,,,,,,13301,16867,18304,19966,19805,20123,20002
219,,,,,,,,,13757,19796,27349,26314,32406,36505,34351
105,12501,10252,11444,12228,7533,6051,6053,8655,10952,12218,13595,13384,12647,12146,11799
150,107383,113037,112015,94503,76714,51682,56959,58638,57715,59873,74153,64292,52414,53091,52806
142,113101,124025,122717,109801,77880,75883,85233,95036,96611,96564,117058,83189,82729,85707,102881
227,4575,1867,0,0,0,0,0,0,0,0,Not Reported,Not Reported,,,
307,,,,,,,,,6600,6998,7773,7872,8408,10344,10402
TEGEE-258,,,,,,,,,15545,21109,21964,20844,19127,16499,15761
49,113897,119128,122983,124310,120233,115167,112412,131247,132535,136040,148493,140931,134693,135476,134364
130,6626,8034,8041,7500,6903,6049,5773,3892,7737,6439,7824,4516,5341,6872,7359
107,4152,4489,3924,4423,3545,3324,3325,3293,3421,3517,3689,3554,3598,3364,3074
207,5347,6747,10223,10679,9318,8885,10021,8762,10269,11744,11456,9652,10157,10982,10862
134-02,,,,,,,,,11969,9311,9189,9981,10152,10924,13581
298,,,,,,,,,85452,5651,Not Reported,Not Reported,,,
46,48906,44063,45904,44772,46396,40955,19476,1736,1787,1764,1738,89210,182688,174470,168303
291,,,,,,,23741,58654,61316,63960,90998,125026,113459,153311,146636
185,57,0,31,0,0,6,0,0,1664,Not Reported,Not Reported,Not Reported,,,
221,7768,6741,7731,7347,7491,5803,4277,2235,2524,141,246,256,309,367,451
292,,,,,,,,,17053,32521,13879,9189,15064,22857,16022
PT201,,,,,,,,,12253,13017,13677,12076,11968,12436,12160
114,901,1265,356,,Not Reported,Not Reported,,,,,,,,,
182,12098,12267,12217,,Not Reported,Not Reported,,,,,,,,,
80,7369,3393,4574,4043,1659,0,0,0,0,0,,,,,
165,5909,4917,4054,5243,2641,2338,2586,956,1106,963,617,728,917,2585,1184
83,35098,41163,42138,23257,21179,24375,27474,25043,21083,17990,15505,17040,16468,15368,15292
82,6938,3433,2343,1214,530,872,514,532,404,414,393,338,373,360,355
168,,,,,,,,,13877,14501,13879,13837,12253,12341,12873
220,13103,15840,16743,,Not Reported,Not Reported,,,,,,,,,
45,78511,75277,90959,80642,74637,76348,74466,78373,77107,75931,83264,82196,81863,88515,90306
RO-155-2013,,,9750598,7586062,3799190,4583475,4248582,3727343,3808207,3628982,4288727,4237696,3866638,4104923,4193464
RO-149-2013,,,96994,55193,22289,35171,33348,43278,43808,51549,50533,53448,56706,52376,45314
RO-38-2012,,,79007,74893,66410,67275,66580,64867,61481,57493,69385,73622,73718,74200,72004
RO-50-2012,,,24207,24793,23223,30038,30427,28440,24761,26112,25344,32933,30563,29353,29370
RO-03-60-2013,,,131296,111778,66374,79347,94924,74610,41069,49723,50167,51543,54262,53867,40094
RO-138-2013,,,797476,920649,684340,598530,635868,693187,610714,633988,844876,754153,724346,746699,758387
RO-137-2013,,,1863859,1702616,730566,519648,625930,859722,528138,650560,848776,862394,853307,875501,942568
RO-06-08-2006,,,12335,9933,212,62,18,15,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-165-2013,,,,,,,,,188109,182137,188113,181996,213247,202562,120339
RO-209-2015,,,,,,,,,,,176,18958,22771,25050,24667
RO-07-33-2009,,,,,395,230,186,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-05-01-2009,,,,,1171,837,637,34,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-40-REV-2016,,,785514,747307,742167,677711,631950,641274,477814,566039,500776,549003,594185,606843,715632
RO-42-REV-2016,,,641097,676027,457994,515316,531397,504079,468558,480322,484934,514043,547424,576944,664484
RO-41-REV-2016,,,709938,680109,580507,553986,638982,586411,585921,598126,568359,562257,587159,612198,731001
RO-193-2013,,,,,,175123,368741,346704,165988,233380,0,0,0,0,
RO-174-2013,,,,,,4631,3041,0,Not Reported,Not Reported,Excluded,Excluded,Excluded,Excluded,
RO-13-2012,,,25119,25479,17474,29427,26861,27425,27352,24056,25173,25167,26984,25086,26908
RO-206-2015,,,,,,,,,,,6092,9879,9719,9769,9853
RO-P-P-2009,,,,,Not Reported,Not Reported,Not Reported,Not Reported,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-213,,,,,,,,,,,,,10612,10800,11582
RO-121-2013,,,,Not Reported,63186,60702,67594,73058,64676,77382,99189,120447,119868,132245,106429
RO-207-2015,,,,,,,,,,,3735,9115,7390,6759,6814
RO-168-2013,,,24591,19368,14539,18088,22637,19564,23864,25071,27229,26690,37069,49406,62489
RO-02-11-2007,,,53070,45650,44132,22664,0,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-211-2015,,,,,,,,,,,122,6369,5906,6917,5373
RO-215-2018,,,,,,,,,,,,,,2059,5026
RO-196-2013,,,40680,38866,41631,38054,39528,45819,41013,43419,44532,46170,48018,47159,50646
RO-197-2013,,,,,,550,1037,610,421,414,265,0,0,,
RO-06-18-2008,,,,,255,254,278,229,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-76-2015,,,18965,16699,18479,23977,19858,20790,20176,21903,21877,20719,21929,20724,21348
RO-131-2014,,,68392,66548,48760,47901,52526,48863,373954,377880,392448,393433,395216,398015,383641
RO-143-2013,,,68563,13229,12221,16994,14506,13800,14990,19642,20107,21326,21642,25225,27067
RO-194-2013,,,613326,471541,467505,502919,561342,536469,246205,149491,0,,,,
RO-7-2012,,,118299,107321,47639,81416,88968,88886,87095,88614,46750,36254,36060,37923,26815
RO-CJ-01-2007,,,3021,2289,1180,1505,1422,1327,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-06-16-2006,,,21774,21111,10683,10592,2875,5,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-175-2013,,,,,,7089,16421,14312,16473,23019,24595,25018,19985,20577,22490
RO-03-36-2007,,,297,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded
RO-14-2012,,,,Not Reported,877,619,33,453,179,230,233,332,381,506,541
RO-06-13-2006,,,Not Reported,12639,0,0,0,Not Reported,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-07-03-2006,,,424271,377670,369763,314766,104340,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
RO-07-04-2006,,,34142,28527,18460,11358,0,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,
